,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
2727,Dealer,0,0,2,BHK,1323.31,1,1,"Sargasan,Gandhinagar",72.61,23.18,44.0
2728,Dealer,1,1,3,BHK,1775.04,0,1,"Malad (East),Maharashtra",72.86,19.18,190.0
2729,Dealer,0,0,3,BHK,1330.02,1,1,"Hiranandani Gardens - Powai,Mumbai",72.89,19.12,450.0
2730,Dealer,0,0,1,BHK,643.04,1,1,"Badlapur (East),Lalitpur",78.42,24.69,22.5
2731,Dealer,0,1,1,BHK,850.0,1,1,"Chakan,Pune",73.82,18.74,27.2
2732,Dealer,0,1,2,BHK,1175.09,1,1,"New Panvel,Maharashtra",73.15,18.97,80.0
2733,Owner,0,0,2,BHK,680.0,1,1,"Banu Nagar,Chennai",80.16,13.13,27.2
2734,Dealer,0,1,3,BHK,2350.09,1,1,"Kulhan,Dehradun",78.06,30.33,87.4
2735,Dealer,1,1,3,BHK,642.07,0,0,"Bagalur,Bangalore",77.67,13.14,49.6
2736,Owner,0,1,2,BHK,910.16,1,1,"Chakan,Pune",73.82,18.74,31.0
2737,Dealer,0,0,2,BHK,1325.16,1,1,"Kalena Agrahara,Bangalore",77.59,12.87,67.0
2738,Dealer,0,0,2,BHK,1049.09,1,1,"Swawlambi Nagar,Lalitpur",78.42,24.69,57.7
2739,Owner,0,0,2,BHK,949.85,1,1,"Alwar Bypass Road,Bhiwadi",76.86,28.21,25.0
2740,Dealer,0,0,2,BHK,1175.06,1,1,"Magarpatta,Pune",73.93,18.51,98.0
2741,Dealer,0,1,3,BHK,1943.76,1,1,"Sector-74 Noida,Noida",77.39,28.58,86.4
2742,Dealer,0,0,3,BHK,2435.06,1,1,"Royal Vatika,Kota",75.87,25.03,150.0
2743,Dealer,0,1,1,BHK,712.96,1,1,"Kanjur Marg (East),Maharashtra",72.82,18.96,100.0
2744,Owner,0,0,3,BHK,1380.1,1,1,"Noida Extension,Noida",77.43,28.58,54.5
2745,Dealer,0,0,2,BHK,1049.19,1,1,"Chembur (East),Mumbai",72.9,19.06,170.0
2746,Owner,1,0,2,BHK,1150.05,0,1,"Neo Town Electronic City Phase 1,Bangalore",77.67,12.85,69.9
2747,Dealer,0,1,2,BHK,834.75,1,1,"Bandra Kurla Complex,Mumbai",72.84,19.05,300.0
2748,Dealer,0,1,2,BHK,1291.27,1,1,"Sector-23 Kharghar,Lalitpur",73.07,19.06,140.0
2749,Dealer,0,1,4,BHK,2086.23,1,1,"Bypass Road,Bhopal",77.99,23.37,45.0
2750,Dealer,0,0,1,BHK,600.07,1,1,"Thite Nagar,Pune",73.37,19.35,32.5
2751,Owner,0,0,3,BHK,1130.22,1,1,"Sector-168 Noida,Noida",77.41,28.49,46.0
2752,Owner,0,0,3,BHK,1404.0,1,1,"Santhi Nagar,Eluru",81.08,16.71,40.0
2753,Owner,0,1,3,BHK,1555.18,1,1,"Varthur,Bangalore",77.75,12.94,73.0
2754,Dealer,0,1,3,BHK,862.07,1,1,"Marol,Lalitpur",78.42,24.69,240.0
2755,Dealer,0,0,1,BHK,494.03,1,1,"Mukt Sainik Colony,Kolhapur",74.26,16.71,24.0
2756,Builder,1,0,2,BHK,1216.84,0,0,"Thiruverkadu,Chennai",80.12,13.07,57.8
2757,Owner,0,0,2,BHK,1000.0,1,1,"Konnagar,Kolkata",88.35,22.7,23.0
2758,Dealer,0,0,2,BHK,1237.86,1,1,"Succorro,Goa",74.04,15.4,65.0
2759,Owner,0,0,3,BHK,925.0,1,1,"Lashkarpur,Kolkata",88.11,22.58,37.0
2760,Dealer,0,1,3,BHK,745.14,1,1,"Sector 88 Faridabad,Faridabad",77.35,28.43,34.5
2761,Dealer,0,0,3,BHK,1701.44,1,1,"CDA Colony,Patna",85.17,25.62,53.0
2762,Dealer,0,1,3,BHK,1600.49,1,1,"Mansarovar Extension,Jaipur",75.76,26.86,52.0
2763,Dealer,0,1,2,BHK,1226.83,1,1,"Thoraipakkam,Chennai",80.24,12.95,92.0
2764,Dealer,0,0,3,BHK,1450.25,1,1,"Damana Square,Bhubaneswar",85.83,20.33,65.0
2765,Dealer,0,0,4,BHK,2015.79,1,1,"Patia,Bhubaneswar",85.82,20.35,120.0
2766,Dealer,0,0,3,BHK,1600.38,1,1,"Dumas Road,Surat",72.72,21.11,67.2
2767,Dealer,1,1,2,BHK,984.03,0,1,"Mira Road,Lalitpur",72.86,19.28,95.5
2768,Dealer,1,1,1,BHK,369.0,0,0,"Mira Road East,Mumbai",72.87,19.28,45.0
2769,Owner,0,0,3,BHK,1856.32,1,1,"Yelahanka,Bangalore",77.6,13.11,100.0
2770,Owner,0,0,2,BHK,950.05,1,1,"Belathur,Bangalore",77.76,13.01,35.0
2771,Owner,0,0,2,BHK,1155.33,1,1,"Dindoli,Surat",72.86,21.14,36.0
2772,Owner,0,0,2,BHK,845.07,1,1,"Naora,Kolkata",88.34,22.54,24.0
2773,Owner,0,1,2,BHK,840.05,1,1,"Budigere,Bangalore",77.75,13.14,36.5
2774,Owner,0,0,3,BHK,1150.23,1,1,"Tapadia Nagar,Akola",77.01,20.72,49.0
2775,Dealer,0,1,2,BHK,1100.03,1,1,"kavesar,Lalitpur",78.42,24.69,86.0
2776,Dealer,1,0,1,BHK,615.15,0,1,"Karade Khurd,Maharashtra",73.29,19.47,19.9
2777,Dealer,0,0,2,BHK,714.12,1,1,"Surapet,Chennai",80.27,13.08,31.5
2778,Owner,0,1,2,BHK,1352.16,1,1,"Ved Vyas Puri,Meerut",77.7,28.99,45.0
2779,Dealer,0,1,2,BHK,1465.32,1,1,"Kanakpura,Jaipur",75.71,26.92,56.4
2780,Dealer,0,1,2,BHK,1216.1,1,1,"Whitefield,Bangalore",77.76,13.0,87.0
2781,Owner,0,1,3,BHK,1470.16,1,1,"Mowa,Raipur",81.67,21.28,50.0
2782,Owner,0,0,2,BHK,1139.59,1,1,"Sector 1 HSR Layout,Bangalore",77.64,12.91,57.8
2783,Dealer,1,1,2,BHK,1020.12,0,1,"Mira Road,Mumbai",72.86,19.28,71.5
2784,Dealer,0,0,1,BHK,700.03,1,1,"Sector 35I Kharghar,Mumbai",73.07,19.04,54.0
2785,Dealer,0,0,2,BHK,1062.15,1,1,"Christian Basti,Guwahati",91.78,26.15,47.0
2786,Dealer,0,0,2,BHK,1022.96,1,1,"Eon Free Zone,Pune",73.95,18.55,90.0
2787,Owner,0,0,2,BHK,700.28,1,1,"Boria Kalan,Raipur",81.68,21.18,7.5
2788,Owner,0,0,2,BHK,1300.2,1,1,"Hazaribagh,Hazaribagh",85.35,23.98,45.0
2789,Dealer,1,1,1,BHK,785.06,0,1,"Pokhran-2,Maharashtra",72.82,19.37,87.0
2790,Dealer,0,0,3,BHK,1439.68,1,1,"Palanpur,Surat",72.83,21.17,50.0
2791,Owner,1,0,2,BHK,1353.06,0,1,"Kasavanhalli,Bangalore",77.68,12.91,75.0
2792,Dealer,0,0,2,BHK,997.7,1,1,"Selaiyur,Chennai",80.14,12.92,43.3
2793,Dealer,1,1,3,BHK,744.96,0,1,"Sector 88 Faridabad,Faridabad",77.35,28.43,34.0
2794,Owner,0,0,1,BHK,522.63,1,1,"Lalarpura,Jaipur",75.87,26.92,19.4
2795,Dealer,0,0,3,BHK,1100.0,1,1,"Naktala,Kolkata",88.34,22.54,57.2
2796,Dealer,0,0,2,BHK,945.07,1,1,"Mira Road East,Lalitpur",72.87,19.28,85.0
2797,Dealer,0,0,3,BHK,1355.01,1,1,"Yemlur,Bangalore",77.6,12.97,130.0
2798,Dealer,1,0,2,BHK,1050.19,0,1,"GS Road,Guwahati",91.77,26.17,40.8
2799,Owner,0,0,1,BHK,900.04,1,1,"Alipore,Kolkata",88.33,22.53,85.0
2800,Owner,0,0,3,BHK,1235.84,1,1,"Maheshtala,Kolkata",88.23,22.49,36.0
2801,Dealer,0,1,2,BHK,1295.02,1,1,"Vibhuti Khand,Lucknow",80.92,26.86,64.0
2802,Dealer,0,1,2,BHK,618.18,1,0,"Goregaon (West),Maharashtra",72.84,19.16,170.0
2803,Owner,0,0,3,BHK,1835.78,1,1,"Sikraul,Varanasi",82.99,25.36,110.0
2804,Owner,0,0,3,BHK,1300.26,1,1,"Narayana Nagar 2nd Block,Bangalore",77.6,12.97,54.0
2805,Dealer,0,0,3,BHK,1850.58,1,1,"Kharar,Chandigarh",76.65,30.74,54.0
2806,Dealer,0,0,2,BHK,971.89,1,1,"Sinhgad Road,Pune",73.53,19.16,65.0
2807,Dealer,0,0,2,BHK,1240.14,1,1,"Sector-9 Ulwe,Maharashtra",73.03,18.97,110.0
2808,Owner,0,0,2,BHK,850.08,1,1,"Electronic City,Bangalore",77.67,12.85,22.0
2809,Dealer,0,0,3,BHK,1570.06,1,1,"Baner Pashan Link Road,Pune",73.83,18.54,120.0
2810,Dealer,0,0,1,BHK,545.06,1,1,"Dombivli (East),Lalitpur",73.08,19.22,45.0
2811,Owner,0,0,1,BHK,664.79,1,1,"Gunjan,Vapi",72.91,20.39,16.5
2812,Dealer,0,0,2,BHK,1150.12,1,1,"Adajan,Surat",78.99,24.4,34.4
2813,Owner,0,0,1,BHK,535.02,1,1,"Chiplun,Ratnagiri",73.52,17.52,11.0
2814,Dealer,1,0,4,BHK,1814.58,0,0,"B T Road,Kolkata",88.34,22.54,87.1
2815,Dealer,0,0,3,BHK,1610.02,1,1,"Vaibhav Khand,Ghaziabad",76.9,28.92,72.0
2816,Owner,0,0,3,BHK,1499.0,1,1,"Thirumudivakkam,Chennai",80.08,12.96,90.0
2817,Owner,0,0,1,BHK,650.14,1,1,"Rajeshwar nagar phase 6,Dehradun",72.37,26.03,21.5
2818,Owner,0,0,2,BHK,1260.15,1,1,"Dundahera,Ghaziabad",77.45,28.63,45.0
2819,Dealer,0,0,2,BHK,954.98,1,1,"Rajarhat,Kolkata",88.34,22.54,35.0
2820,Dealer,0,1,2,BHK,1140.0,1,1,"Bileshivale,Bangalore",77.67,13.05,45.6
2821,Dealer,0,1,1,BHK,765.03,1,1,"Ghodbunder Road,Lalitpur",78.42,24.69,63.0
2822,Owner,0,1,3,BHK,1446.02,1,1,"Sector-70 Noida,Noida",77.38,28.6,90.0
2823,Dealer,0,0,2,BHK,1049.79,1,1,"Badlapur (East),Lalitpur",78.42,24.69,35.0
2824,Owner,0,1,3,BHK,1690.33,1,1,"Sahibabad,Ghaziabad",77.37,28.67,75.0
2825,Dealer,1,1,1,BHK,463.77,0,1,"Virar West,Lalitpur",72.81,19.46,32.9
2826,Dealer,0,0,4,BHK,2000.0,1,1,"Mount Mary,Lalitpur",78.42,24.69,1700.0
2827,Owner,0,0,2,BHK,1100.0,1,1,"Kereguddadahalli,Bangalore",77.52,13.08,33.0
2828,Dealer,1,1,3,BHK,1710.02,0,1,"Upper Worli,Lalitpur",72.82,19.02,900.0
2829,Dealer,0,0,2,BHK,1043.15,1,1,"Sector 21 Kharghar,Lalitpur",73.07,19.05,110.0
2830,Dealer,0,1,3,BHK,1500.0,1,1,"Sector 86 Faridabad,Faridabad",77.34,28.41,54.0
2831,Dealer,0,0,1,BHK,678.69,1,1,"Badlapur (West),Mumbai",72.83,18.97,23.7
2832,Owner,0,1,1,BHK,547.95,1,1,"Jainpur,Meerut",77.69,28.94,13.2
2833,Dealer,0,0,3,BHK,1225.9,1,1,"Kempapura, Bellandur,Bangalore",77.68,12.93,110.0
2834,Dealer,1,1,1,BHK,574.86,0,1,"Chovisawadi,Pune",73.85,18.52,22.5
2835,Dealer,0,1,2,BHK,858.23,1,1,"Chikholi,Lalitpur",78.42,24.69,27.0
2836,Dealer,0,1,2,BHK,719.01,1,1,"Malad (West),Lalitpur",72.83,19.18,150.0
2837,Dealer,0,0,2,BHK,952.0,1,1,"S Kolathur,Chennai",80.21,13.13,47.6
2838,Dealer,1,0,3,BHK,1919.72,0,1,"Jessore Road,Kolkata",88.34,22.54,99.0
2839,Dealer,1,1,2,BHK,1004.18,0,1,"Vijay Park,Maharashtra",72.97,19.27,91.3
2840,Owner,0,0,2,BHK,915.16,1,1,"Sarjapur Road,Bangalore",77.79,12.86,48.0
2841,Owner,0,0,2,BHK,949.89,1,1,"Ambattur,Chennai",80.16,13.1,40.0
2842,Owner,0,0,2,BHK,1115.11,1,1,"Nagavarapalya,Bangalore",77.6,12.97,65.0
2843,Dealer,1,1,3,BHK,2371.47,0,0,"Sector-65 Gurgaon,Gurgaon",77.07,28.4,280.0
2844,Dealer,1,0,2,BHK,944.44,0,1,"Burdwan Road,Siliguri",88.33,26.72,25.5
2845,Dealer,0,0,2,BHK,1185.02,1,1,"Worli,Lalitpur",72.82,19.02,450.0
2846,Owner,0,0,1,BHK,675.22,1,1,"Mig Colony,Indore",75.89,22.73,20.0
2847,Dealer,0,0,3,BHK,1159.75,1,1,"Nandi Bagan,Kolkata",88.34,22.54,31.0
2848,Dealer,1,1,2,BHK,710.53,0,0,"Raj Nagar Extension,Ghaziabad",75.78,26.9,27.0
2849,Dealer,0,0,2,BHK,810.13,1,1,"Kutwal Colony,Pune",73.85,18.52,32.0
2850,Dealer,0,0,2,BHK,1250.0,1,1,"Kaspate Vasti,Pune",73.85,18.52,79.9
2851,Dealer,0,1,3,BHK,1356.32,1,1,"Sector-134 Noida,Noida",77.38,28.5,48.0
2852,Owner,0,1,3,BHK,1580.0,1,1,"Raj Nagar Extension,Ghaziabad",75.78,26.9,55.3
2853,Dealer,0,0,3,BHK,1048.25,1,1,"Lal Kuan,Ghaziabad",77.47,28.63,31.5
2854,Dealer,0,0,3,BHK,1900.0,1,1,"Rajrooppur,Allahabad",81.85,25.45,77.9
2855,Dealer,0,0,2,BHK,930.06,1,1,"Hiranandani Estate,Lalitpur",72.98,19.26,100.0
2856,Dealer,0,0,4,BHK,1762.11,1,1,"DLF CITY PHASE 2,Gurgaon",77.08,28.48,180.0
2857,Builder,1,1,3,BHK,1500.0,0,0,"Chembukkav,Thrissur",76.21,10.52,81.0
2858,Dealer,0,0,4,BHK,1461.45,1,1,"Lal Kuan,Ghaziabad",77.47,28.63,40.0
2859,Dealer,1,0,2,BHK,1025.13,0,1,"Kammasandra,Bangalore",77.74,12.86,31.0
2860,Owner,0,0,1,BHK,1059.7,1,1,"Kaup,Udupi",74.75,13.33,30.0
2861,Owner,0,1,3,BHK,1544.0,1,1,"Noida Extension,Noida",77.43,28.58,60.0
2862,Owner,0,0,2,BHK,867.89,1,1,"Chromepet,Chennai",80.14,12.95,45.0
2863,Dealer,0,0,2,BHK,1080.07,1,1,"Taloja,Maharashtra",74.21,21.56,58.0
2864,Owner,0,0,2,BHK,962.99,1,1,"Indraprastha Yojna,Ghaziabad",77.42,28.67,22.9
2865,Dealer,0,1,3,BHK,1709.33,1,1,"Zirakpur,Chandigarh",76.82,30.66,64.1
2866,Owner,0,0,3,BHK,1150.01,1,1,"Sarjapur,Bangalore",77.79,12.86,45.0
2867,Dealer,0,1,2,BHK,820.43,1,1,"Sector-115 Mohali,Mohali",76.65,30.71,15.9
2868,Dealer,1,1,2,BHK,561.96,0,1,"New Panvel,Lalitpur",73.15,18.97,60.0
2869,Owner,0,0,2,BHK,1280.08,1,1,"Sector-5 Vaishali,Ghaziabad",77.34,28.64,75.0
2870,Dealer,0,0,3,BHK,1667.09,1,1,"Beliaghata,Kolkata",88.45,22.33,130.0
2871,Owner,0,0,3,BHK,1602.33,1,1,"Tatabad,Coimbatore",76.97,11.0,110.0
2872,Owner,0,0,1,BHK,721.07,1,1,"Uttareshwar Nagar,Pune",73.88,18.53,41.0
2873,Owner,0,0,2,BHK,1200.12,1,1,"Bommanahalli,Bangalore",77.63,12.91,40.0
2874,Dealer,1,1,2,BHK,800.0,0,1,"Balkum,Mumbai",72.99,19.22,88.0
2875,Dealer,0,0,3,BHK,1841.92,1,1,"Zirakpur,Chandigarh",76.82,30.66,52.9
2876,Owner,1,0,2,BHK,1068.21,0,1,"Ponjassery,Ernakulam",76.28,9.98,41.5
2877,Dealer,0,0,2,BHK,1300.05,1,1,"Mahendra Hills,Secunderabad",78.52,17.45,100.0
2878,Owner,0,0,3,BHK,1660.4,1,1,"Vasna-Bhayli-Road,Vadodara",73.13,22.29,53.0
2879,Owner,0,0,3,BHK,1626.58,1,1,"Sector-93 A Noida,Noida",77.0,21.0,140.0
2880,Dealer,0,0,2,BHK,1265.82,1,1,"Thane West,Mumbai",72.96,19.18,150.0
2881,Owner,0,1,3,BHK,1724.73,1,1,"Hosa Road,Bangalore",77.66,12.86,100.0
2882,Dealer,0,0,3,BHK,1640.24,1,1,"Thurahalli,Bangalore",77.52,12.88,60.0
2883,Owner,0,0,3,BHK,1780.22,1,1,"Harlur Road,Bangalore",77.67,12.9,110.0
2884,Dealer,0,0,2,BHK,1387.3,1,1,"Sector 77 Faridabad,Faridabad",77.37,28.37,38.9
2885,Dealer,0,1,2,BHK,945.03,1,1,"Goa Velha,Goa",73.88,15.44,45.9
2886,Owner,0,0,3,BHK,1400.2,1,1,"Kaushalpuri,Kanpur",80.33,26.47,55.0
2887,Dealer,0,0,3,BHK,1260.23,1,1,"Kolapakkam,Chennai",80.15,13.01,57.0
2888,Owner,0,1,1,BHK,707.13,1,1,"Pisoli,Pune",73.91,18.44,36.0
2889,Dealer,0,1,2,BHK,749.29,1,1,"Goregaon (East),Lalitpur",72.87,19.16,200.0
2890,Dealer,0,0,2,BHK,905.06,1,1,"Suraksha Nagar,Bangalore",79.11,20.1,51.0
2891,Owner,0,0,3,BHK,1400.16,1,1,"Medavakkam,Chennai",80.19,12.92,69.0
2892,Builder,1,1,2,BHK,978.54,0,0,"Zingabai Takli,Lalitpur",78.42,24.69,31.0
2893,Dealer,0,0,3,BHK,1659.69,1,1,"Sector 88 Faridabad,Faridabad",77.35,28.43,55.5
2894,Dealer,0,0,1,BHK,600.0,1,1,"Sector-3 Belpada,Mumbai",73.12,19.0,60.0
2895,Dealer,0,0,2,BHK,1508.75,1,1,"Navodaya Nagar,Bangalore",74.99,15.44,100.0
2896,Dealer,1,1,2,BHK,929.55,0,1,"Kanjur Marg (East),Mumbai",73.04,19.22,140.0
2897,Builder,1,1,3,BHK,1303.33,0,0,"Bodhgaya,Gaya",85.02,24.75,39.1
2898,Owner,0,0,2,BHK,1350.09,1,1,"Jakat Naka Road,Jamnagar",70.07,22.47,29.0
2899,Owner,0,0,3,BHK,1460.23,1,1,"Kalyan nagar,Bangalore",77.65,13.02,85.0
2900,Owner,0,0,3,BHK,1460.0,1,1,"North Office Para,Ranchi",85.67,22.9,73.0
2901,Owner,1,0,2,BHK,870.17,0,1,"Garia,Kolkata",88.47,22.4,25.0
2902,Dealer,1,0,1,BHK,550.16,0,1,"Sector-45 Noida,Noida",77.36,28.55,17.0
2903,Dealer,0,0,3,BHK,1700.04,1,1,"Pipaliyahana,Indore",75.9,22.71,45.0
2904,Dealer,0,0,2,BHK,1084.46,1,1,"Rajarhat,Kolkata",88.34,22.54,52.0
2905,Dealer,0,0,3,BHK,1600.0,1,1,"Milakpur Goojar,Bhiwadi",76.83,28.19,30.4
2906,Dealer,1,0,1,BHK,374.53,0,1,"Panvel,Lalitpur",73.15,18.97,39.0
2907,Dealer,0,0,2,BHK,980.13,1,1,"Omarhati,Kolkata",88.52,22.6,36.0
2908,Dealer,0,0,1,BHK,618.05,1,1,"Tagore Park,Kolkata",88.36,22.5,25.0
2909,Dealer,0,0,2,BHK,1060.14,1,1,"Valapattanam,Kannur",75.35,11.93,55.0
2910,Owner,0,0,1,BHK,629.82,1,1,"Bangali Square,Indore",75.92,22.71,18.8
2911,Dealer,0,0,3,BHK,1550.25,1,1,"Sector-61 Noida,Noida",77.37,28.59,85.0
2912,Owner,0,0,3,BHK,1350.31,1,1,"Sai mandir,Dehradun",77.36,28.56,35.0
2913,Owner,0,0,2,BHK,1008.4,1,1,"Bhawrasla,Indore",75.84,22.79,24.0
2914,Dealer,1,0,2,BHK,576.67,0,1,"Vartak Nagar,Maharashtra",72.83,19.06,100.0
2915,Dealer,0,0,3,BHK,1743.02,1,1,"Agraharam,Chennai",80.27,13.09,78.0
2916,Dealer,1,1,2,BHK,1000.0,0,1,"Sector 78 Faridabad,Faridabad",77.37,28.38,25.8
2917,Dealer,0,0,3,BHK,1615.31,1,1,"Fatehgunj,Vadodara",73.18,22.34,65.0
2918,Dealer,0,1,3,BHK,1700.1,1,1,"Sector-107 Noida,Noida",77.38,28.55,100.0
2919,Dealer,0,0,3,BHK,1735.07,1,1,"Sector-77 Noida,Noida",77.39,28.57,93.0
2920,Dealer,0,0,2,BHK,1583.17,1,1,"Railway Colony,Lalitpur",78.56,25.44,7.9
2921,Owner,0,0,2,BHK,1159.73,1,1,"Vyayam Shala,Anand",72.95,22.56,22.0
2922,Owner,1,1,2,BHK,945.05,0,1,"Bejai,Mangalore",74.88,12.87,43.0
2923,Dealer,0,1,3,BHK,2195.03,1,1,"Goregaon (East),Lalitpur",72.87,19.16,400.0
2924,Owner,0,1,2,BHK,910.87,1,1,"Pirangut,Pune",73.69,18.51,42.0
2925,Owner,0,0,1,BHK,350.06,1,1,"Subhanpura,Vadodara",73.16,22.32,9.0
2926,Dealer,0,1,4,BHK,2324.44,1,1,"Sector-66 Gurgaon,Gurgaon",77.06,28.4,190.0
2927,Owner,0,0,1,BHK,700.12,1,1,"Puzhuthivakkam,Chennai",80.33,13.28,30.0
2928,Dealer,0,0,2,BHK,930.34,1,1,"Baraula,Noida",77.37,28.56,19.5
2929,Owner,0,0,1,BHK,580.08,1,1,"Parali,Raigad",73.3,18.67,18.0
2930,Dealer,0,1,2,BHK,1028.0,1,1,"Ghodbunder Road,Lalitpur",78.42,24.69,83.7
2931,Dealer,1,1,2,BHK,600.0,0,1,"Ghodbunder Road,Maharashtra",72.82,18.96,78.0
2932,Owner,0,0,1,BHK,545.09,1,1,"Navali,Palghar",72.79,19.71,22.0
2933,Dealer,0,1,3,BHK,1730.1,1,1,"Zirakpur,Chandigarh",76.82,30.66,80.0
2934,Owner,0,0,1,BHK,550.16,1,1,"Pilkhuwa,Ghaziabad",77.65,28.71,8.5
2935,Dealer,1,1,2,BHK,915.11,0,1,"Hinjewadi,Pune",73.74,18.59,65.0
2936,Dealer,0,0,2,BHK,1250.0,1,1,"Thakur Village,Lalitpur",77.59,12.92,220.0
2937,Dealer,0,1,2,BHK,1230.04,1,1,"Sector 80 Faridabad,Faridabad",77.35,28.38,47.0
2938,Dealer,0,0,2,BHK,1070.07,1,1,"Sector-35G Kharghar,Mumbai",73.07,19.04,98.5
2939,Owner,0,0,3,BHK,1229.82,1,1,"Adityapur,Jamshedpur",86.15,22.78,32.0
2940,Dealer,0,0,2,BHK,686.08,1,1,"Dombivli (East),Maharashtra",73.08,19.22,53.0
2941,Dealer,0,0,3,BHK,1650.17,1,1,"Sector 19 Kharghar,Lalitpur",73.08,19.05,160.0
2942,Owner,0,0,2,BHK,1025.18,1,1,"Milakpur Goojar,Bhiwadi",76.83,28.19,28.5
2943,Owner,0,0,3,BHK,1679.93,1,1,"Khatipura,Jaipur",75.75,26.92,38.0
2944,Owner,0,0,3,BHK,1500.12,1,1,"Electronics City Phase 1,Bangalore",77.66,12.84,62.0
2945,Owner,1,0,1,BHK,690.13,0,1,"Bhagyanagar,Belgaum",74.5,15.87,20.0
2946,Dealer,0,1,3,BHK,1291.38,1,1,"Sector-9 Ulwe,Lalitpur",77.12,28.72,110.0
2947,Owner,0,0,3,BHK,1500.0,1,1,"Zirakpur,Panchkula",76.82,30.65,42.0
2948,Owner,0,0,3,BHK,1505.45,1,1,"PAL,Surat",72.83,21.17,47.0
2949,Dealer,0,1,3,BHK,1750.07,1,1,"Mulund (West),Mumbai",72.95,19.18,320.0
2950,Dealer,1,1,2,BHK,1323.59,0,1,"Chandivali,Lalitpur",78.42,24.69,250.0
2951,Dealer,0,0,2,BHK,982.98,1,1,"Rabindra Nagar,Asansol",86.94,23.69,23.1
2952,Owner,0,0,1,BHK,600.06,1,1,"Chintal,Secunderabad",78.5,17.45,20.0
2953,Dealer,0,0,3,BHK,1473.35,1,1,"Bhanu Nagar,Mumbai",88.43,26.74,110.0
2954,Owner,0,0,3,BHK,1000.0,1,1,"Belgachia,Kolkata",88.39,22.6,65.0
2955,Owner,0,0,1,BHK,1090.07,1,1,"Ramnagariya,Jaipur",75.87,26.92,19.0
2956,Builder,1,1,1,BHK,447.71,0,0,"Badlapur (East),Lalitpur",78.42,24.69,26.5
2957,Dealer,0,0,3,BHK,1745.04,1,1,"Doddakallasandra,Bangalore",77.56,12.88,190.0
2958,Dealer,0,0,2,BHK,850.18,1,1,"Rajarajeshwari Nagar,Bangalore",77.52,12.92,45.0
2959,Dealer,0,1,3,BHK,1665.05,1,1,"Hosur Road,Bangalore",77.45,12.75,120.0
2960,Dealer,0,0,2,BHK,904.94,1,1,"Akshaya Nagar,Bangalore",77.6,12.97,49.5
2961,Dealer,1,1,3,BHK,1745.98,0,1,"Dadar,Mumbai",73.26,34.55,1050.0
2962,Dealer,0,1,3,BHK,1680.86,1,1,"Yelahanka,Bangalore",77.6,13.11,84.9
2963,Dealer,0,0,2,BHK,900.02,1,1,"Sector-62 Noida,Noida",77.37,28.62,50.5
2964,Dealer,0,0,3,BHK,1980.06,1,1,"Bhandarkar Road,Pune",73.83,18.52,280.0
2965,Dealer,1,0,2,BHK,700.0,0,1,"Kaliganj,Durgapur",87.36,23.54,13.3
2966,Dealer,0,1,3,BHK,1200.0,1,1,"Keshav Nagar,Pune",75.71,27.17,120.0
2967,Owner,0,0,1,BHK,734.85,1,1,"Amar Colony,Amravati",77.01,28.45,24.5
2968,Dealer,1,1,3,BHK,897.93,0,0,"Powai,Lalitpur",72.91,19.12,270.0
2969,Owner,0,0,2,BHK,1350.44,1,1,"Kaluba Road,Bhavnagar",72.14,21.76,40.0
2970,Owner,0,0,2,BHK,959.17,1,1,"Sundarapuram,Coimbatore",76.97,11.0,39.0
2971,Builder,1,1,2,BHK,882.47,0,0,"Karapakkam,Chennai",80.24,12.93,42.8
2972,Dealer,0,1,2,BHK,953.18,1,1,"Kanjur Marg (East),Lalitpur",78.42,24.69,240.0
2973,Owner,0,0,1,BHK,650.13,1,1,"Balaji Nagar,Pune",73.86,18.46,27.0
2974,Dealer,0,0,3,BHK,1782.91,1,1,"Kundli,Sonipat",77.11,28.87,43.2
2975,Dealer,1,1,3,BHK,991.78,0,0,"Harni,Vadodara",73.23,22.34,41.0
2976,Owner,1,0,3,BHK,1190.13,0,1,"Sainikpuri,Secunderabad",78.54,17.49,40.5
2977,Owner,0,0,3,BHK,980.32,1,1,"Sector-127 Mohali,Mohali",76.65,30.77,26.9
2978,Owner,0,0,2,BHK,1085.07,1,1,"Sundarpada,Bhubaneswar",85.82,20.23,25.0
2979,Dealer,0,0,3,BHK,1622.82,1,1,"Vaibhav Khand,Ghaziabad",76.9,28.92,95.0
2980,Dealer,1,0,3,BHK,846.02,0,1,"Panchsheel Nagar,Mumbai",72.83,19.06,260.0
2981,Dealer,0,0,3,BHK,1637.63,1,1,"Govind Puram,Ghaziabad",77.42,28.67,56.4
2982,Owner,0,0,1,BHK,650.14,1,1,"Bajaj Nagar,Aurangabad",74.99,20.47,16.0
2983,Dealer,0,0,2,BHK,800.0,1,1,"Shiv Mandir,Siliguri",71.39,25.23,22.4
2984,Dealer,0,0,2,BHK,955.03,1,1,"Sector-77 Noida,Noida",77.39,28.57,55.0
2985,Owner,0,0,2,BHK,1100.11,1,1,"Navlakha,Indore",75.88,22.7,30.0
2986,Dealer,0,0,2,BHK,925.61,1,1,"Chembur,Lalitpur",72.9,19.06,190.0
